Date,IVV US Equity  (L2),IEUR US Equity  (L1),MCHI US Equity  (R2),NAFTRAC MM Equity  (R1)
9/18/2019,302.93,45.99,58.76,43.12
9/17/2019,302.71,46.02,59.05,43.51
9/16/2019,301.98,45.8,59.19,
9/13/2019,302.87,46.3,59.82,42.9
9/12/2019,303.08,46.06,59.38,42.75
9/11/2019,302.12,45.79,58.94,42.8
9/10/2019,299.95,45.54,58.35,42.64
9/9/2019,299.97,45.51,58.58,42.72
9/6/2019,299.83,45.46,58.28,42.78
9/5/2019,299.63,45.36,58.25,42.8
9/4/2019,295.76,45.11,57.22,42.35
9/3/2019,292.41,44.46,56.23,41.93
9/2/2019,,,,42.2
8/30/2019,294.27,44.58,56.42,42.66
8/29/2019,294.28,44.38,56.24,41.89
8/28/2019,290.5,43.97,55.61,41.03
8/27/2019,288.55,44.04,55.5,40.74
8/26/2019,289.66,43.97,55.35,40.14
8/23/2019,286.47,43.72,54.76,39.84
8/22/2019,294.07,44.27,56.1,40.1
8/21/2019,294.18,44.31,56.71,40.04
8/20/2019,291.79,43.86,56.32,39.67
8/19/2019,294.07,44.07,56.41,39.53
8/16/2019,290.58,43.72,55.37,39.31
8/15/2019,286.34,43.18,54.33,38.55
8/14/2019,285.6,43.19,53.57,38.62
8/13/2019,294.28,44.45,55.15,39.46
8/12/2019,289.81,44.09,54.04,39.82
8/9/2019,293.36,44.42,54.61,40.38
8/8/2019,295.28,44.62,55.38,40.39
8/7/2019,289.66,44.3,54.65,40.41
8/6/2019,289.38,44.02,54.17,39.76
8/5/2019,285.57,43.8,53.48,39.5
8/2/2019,294.42,44.71,56,39.98
8/1/2019,296.52,45.14,56.66,40.33
7/31/2019,299.23,45.31,58.47,40.8
7/30/2019,302.48,45.68,59.11,41.12
7/29/2019,303.22,46.36,59.56,41.22
7/26/2019,303.77,46.26,59.92,40.71
7/25/2019,301.71,46.11,59.8,40.96
7/24/2019,303.17,46.5,60.14,41.16
7/23/2019,301.72,46.51,59.75,41
7/22/2019,299.58,46.21,59.09,41.26
7/19/2019,298.9,46.1,59.33,41.64
7/18/2019,300.65,46.35,59.33,41.67
7/17/2019,299.48,46.22,59.25,42.61
7/16/2019,301.44,46.29,59.4,43.02
7/15/2019,302.46,46.5,59.46,43.1
7/12/2019,302.49,46.43,58.91,42.68
7/11/2019,300.93,46.38,58.64,42.94
7/10/2019,300.4,46.43,58.92,42.8
7/9/2019,299.03,46.24,58.76,42.8
7/8/2019,298.55,46.45,58.91,43.51
7/5/2019,300.1,46.67,59.65,43.36
7/4/2019,,,,43.46
7/3/2019,300.48,47.13,60.39,43.45
7/2/2019,298.23,46.73,60.61,43.39
7/1/2019,297.32,46.67,60.64,43.38
6/28/2019,294.75,46.6,59.45,43.12
6/27/2019,293.28,46.21,59.48,43.3
6/26/2019,292.08,46.18,58.9,43.76
6/25/2019,292.41,46.18,58.05,44.16
6/24/2019,295.27,46.5,58.99,44.06
6/21/2019,295.57,46.37,59,43.87
6/20/2019,296.02,46.49,59.33,43.98
6/19/2019,293.24,45.96,58.37,43.71
6/18/2019,292.45,45.73,57.8,43.5
6/17/2019,289.74,45.1,55.98,43.37
6/14/2019,291.25,46.38,55.99,43.48
6/13/2019,291.62,46.76,56.65,43.85
6/12/2019,290.29,46.73,56.54,44.16
6/11/2019,290.95,47.03,57.61,44.05
6/10/2019,291,46.69,56.81,43.93
6/7/2019,289.67,46.62,55.82,43.61
6/6/2019,286.76,46.01,55.21,43.47
6/5/2019,284.86,45.81,55.18,43.79
6/4/2019,282.44,45.81,55.66,43.33
6/3/2019,276.38,45.25,55.68,43.16
5/31/2019,277.3,44.97,55.33,42.8
5/30/2019,280.87,45.36,55.45,43.38
5/29/2019,280.24,45.09,55.48,42.88
5/28/2019,282.08,45.58,55.31,42.49
5/27/2019,,,,42.76
5/24/2019,284.76,46.04,54.88,42.86
5/23/2019,284.06,45.56,55.2,43.04
5/22/2019,287.65,46.05,56.25,43.14
5/21/2019,288.48,46.26,56.86,43.36
5/20/2019,285.98,45.89,56.01,43.69
5/17/2019,287.9,46.25,57.68,43.64
5/16/2019,289.56,46.51,59.59,43.66
5/15/2019,287.03,46.16,59.35,43.52
5/14/2019,285.32,45.99,58.81,43.57
5/13/2019,282.8,45.55,57.84,43.3
5/10/2019,290,46.61,60.13,43.51
5/9/2019,288.72,46.27,59.74,43.36
5/8/2019,289.52,46.55,60.75,43.51
5/7/2019,289.91,46.39,60.81,43.66
5/6/2019,294.9,47.2,62.72,44.19
5/3/2019,296.01,47.7,64.58,44.33
5/2/2019,293.26,47.21,63.48,44.36
5/1/2019,293.8,47.34,63.41,
4/30/2019,295.94,47.7,63.52,44.65
4/29/2019,295.79,47.51,63.72,44.95
4/26/2019,295.47,47.23,63.56,44.98
4/25/2019,294.04,47.22,63.26,45.07
4/24/2019,294.22,47.36,63.57,45.08
4/23/2019,294.84,47.6,64.41,45.22
4/22/2019,292.3,47.64,64.38,45.4
4/18/2019,292,47.64,64.89,
4/17/2019,291.37,47.73,64.87,45.47
4/16/2019,292.14,47.56,64.72,44.99
4/15/2019,291.92,47.56,63.995,44.61
4/12/2019,292.16,47.42,65.03,44.73
4/11/2019,290.2,47.09,64.1,44.63
4/10/2019,290.22,47.07,64.96,44.89
4/9/2019,289.27,46.87,64.82,45.15
4/8/2019,290.77,47.13,64.85,45.44
4/5/2019,290.45,47.09,64.92,44.99
4/4/2019,289.13,46.95,64.19,43.92
4/3/2019,288.44,47.05,63.54,43.31
4/2/2019,287.92,46.61,63.12,43.32
4/1/2019,287.85,46.47,63.35,43.64
3/29/2019,284.56,45.87,62.43,43.25
3/28/2019,282.69,45.64,61.26,42.92
3/27/2019,281.58,45.82,60.89,42.93
3/26/2019,282.96,45.75,60.94,42.91
3/25/2019,280.91,45.57,60.95,42.79
3/22/2019,281.16,45.6,60.85,42.34
3/21/2019,286.57,46.69,62.78,43.32
3/20/2019,283.39,46.83,62.69,43.17
3/19/2019,285.54,46.86,62.87,42.47
3/18/2019,285.41,46.68,62.67,
3/15/2019,284.28,46.45,61.83,42.28
3/14/2019,283.01,45.96,61.04,41.84
3/13/2019,283.15,45.74,61.42,41.99
3/12/2019,281.2,45.34,61.66,41.83
3/11/2019,280.21,45.3,61.14,41.96
3/8/2019,276.2,44.95,59.61,41.68
3/7/2019,276.76,44.95,60.68,41.72
3/6/2019,279.01,45.64,62.39,41.94
3/5/2019,280.8,45.76,62.86,42.2
3/4/2019,281.16,45.72,61.86,42.49
3/1/2019,282.31,45.86,61.21,42.63
2/28/2019,280.32,45.51,60.71,42.89
2/27/2019,280.91,45.45,61.11,43.32
2/26/2019,281.05,45.61,61.84,43.66
2/25/2019,281.26,45.28,62.05,43.69
2/22/2019,280.82,45.17,60.93,43.67
2/21/2019,279.21,45.06,59.78,43.5
2/20/2019,280.09,45.2,59.91,43.12
2/19/2019,279.55,44.97,59.54,42.89
2/18/2019,,,,42.86
2/15/2019,279.16,44.75,58.8,42.91
2/14/2019,276.03,44.12,59.21,42.7
2/13/2019,276.66,44.08,59.5,42.26
2/12/2019,275.82,44.12,59.17,43.06
